name,run.no.in.std.order,run.no,run.no.std.rp,environment,sizeexp,Blocks,time
216,53,216,53.4,singularity,17,.4,
217,52,217,52.4,docker,17,.4,
218,49,218,49.4,docker,16,.4,
219,59,219,59.4,singularity,19,.4,
220,30,220,30.4,native,9,.4,
221,6,221,6.4,native,1,.4,
222,31,222,31.4,docker,10,.4,
223,4,223,4.4,docker,1,.4,
224,55,224,55.4,docker,18,.4,
225,39,225,39.4,native,12,.4,
226,11,226,11.4,singularity,3,.4,
227,46,227,46.4,docker,15,.4,
228,2,228,2.4,singularity,0,.4,
229,50,229,50.4,singularity,16,.4,
230,10,230,10.4,docker,3,.4,
231,57,231,57.4,native,18,.4,
232,12,232,12.4,native,3,.4,
233,16,233,16.4,docker,5,.4,
234,7,234,7.4,docker,2,.4,
235,15,235,15.4,native,4,.4,
236,35,236,35.4,singularity,11,.4,
237,45,237,45.4,native,14,.4,
238,38,238,38.4,singularity,12,.4,
239,37,239,37.4,docker,12,.4,
240,33,240,33.4,native,10,.4,
241,61,241,61.4,docker,20,.4,
242,58,242,58.4,docker,19,.4,
243,14,243,14.4,singularity,4,.4,
244,22,244,22.4,docker,7,.4,
245,3,245,3.4,native,0,.4,
246,28,246,28.4,docker,9,.4,
247,36,247,36.4,native,11,.4,
248,20,248,20.4,singularity,6,.4,
249,29,249,29.4,singularity,9,.4,
250,41,250,41.4,singularity,13,.4,
251,32,251,32.4,singularity,10,.4,
252,47,252,47.4,singularity,15,.4,
253,6,253,6.5,native,1,.5,
254,10,254,10.5,docker,3,.5,
255,47,255,47.5,singularity,15,.5,
256,25,256,25.5,docker,8,.5,
257,39,257,39.5,native,12,.5,
258,22,258,22.5,docker,7,.5,
259,44,259,44.5,singularity,14,.5,
260,8,260,8.5,singularity,2,.5,
261,59,261,59.5,singularity,19,.5,
262,54,262,54.5,native,17,.5,
263,18,263,18.5,native,5,.5,
264,32,264,32.5,singularity,10,.5,
265,2,265,2.5,singularity,0,.5,
266,24,266,24.5,native,7,.5,
267,19,267,19.5,docker,6,.5,
268,30,268,30.5,native,9,.5,
269,23,269,23.5,singularity,7,.5,
270,37,270,37.5,docker,12,.5,
271,63,271,63.5,native,20,.5,
272,33,272,33.5,native,10,.5,
273,1,273,1.5,docker,0,.5,
274,4,274,4.5,docker,1,.5,
275,56,275,56.5,singularity,18,.5,
276,9,276,9.5,native,2,.5,
277,26,277,26.5,singularity,8,.5,
278,27,278,27.5,native,8,.5,
279,50,279,50.5,singularity,16,.5,
280,5,280,5.5,singularity,1,.5,
281,31,281,31.5,docker,10,.5,
282,13,282,13.5,docker,4,.5,
283,34,283,34.5,docker,11,.5,
284,53,284,53.5,singularity,17,.5,
285,51,285,51.5,native,16,.5,
286,11,286,11.5,singularity,3,.5,
287,57,287,57.5,native,18,.5,
288,61,288,61.5,docker,20,.5,
289,58,289,58.5,docker,19,.5,
290,43,290,43.5,docker,14,.5,
291,21,291,21.5,native,6,.5,
292,36,292,36.5,native,11,.5,
293,20,293,20.5,singularity,6,.5,
294,38,294,38.5,singularity,12,.5,
295,35,295,35.5,singularity,11,.5,
296,16,296,16.5,docker,5,.5,
297,7,297,7.5,docker,2,.5,
298,42,298,42.5,native,13,.5,
299,48,299,48.5,native,15,.5,
300,62,300,62.5,singularity,20,.5,
301,14,301,14.5,singularity,4,.5,
302,55,302,55.5,docker,18,.5,
303,28,303,28.5,docker,9,.5,
304,12,304,12.5,native,3,.5,
305,29,305,29.5,singularity,9,.5,
306,17,306,17.5,singularity,5,.5,
307,41,307,41.5,singularity,13,.5,
308,49,308,49.5,docker,16,.5,
309,60,309,60.5,native,19,.5,
310,46,310,46.5,docker,15,.5,
311,45,311,45.5,native,14,.5,
312,15,312,15.5,native,4,.5,
313,3,313,3.5,native,0,.5,
314,40,314,40.5,docker,13,.5,
315,52,315,52.5,docker,17,.5,
316,12,316,12.6,native,3,.6,
317,16,317,16.6,docker,5,.6,
318,24,318,24.6,native,7,.6,
319,3,319,3.6,native,0,.6,
320,61,320,61.6,docker,20,.6,
321,50,321,50.6,singularity,16,.6,
322,56,322,56.6,singularity,18,.6,
323,25,323,25.6,docker,8,.6,
324,49,324,49.6,docker,16,.6,
325,55,325,55.6,docker,18,.6,
326,28,326,28.6,docker,9,.6,
327,4,327,4.6,docker,1,.6,
328,63,328,63.6,native,20,.6,
329,33,329,33.6,native,10,.6,
330,47,330,47.6,singularity,15,.6,
331,48,331,48.6,native,15,.6,
332,31,332,31.6,docker,10,.6,
333,37,333,37.6,docker,12,.6,
334,13,334,13.6,docker,4,.6,
335,26,335,26.6,singularity,8,.6,
336,52,336,52.6,docker,17,.6,
337,32,337,32.6,singularity,10,.6,
338,7,338,7.6,docker,2,.6,
339,46,339,46.6,docker,15,.6,
340,51,340,51.6,native,16,.6,
341,23,341,23.6,singularity,7,.6,
342,14,342,14.6,singularity,4,.6,
343,6,343,6.6,native,1,.6,
344,29,344,29.6,singularity,9,.6,
345,9,345,9.6,native,2,.6,
346,41,346,41.6,singularity,13,.6,
347,8,347,8.6,singularity,2,.6,
348,38,348,38.6,singularity,12,.6,
349,57,349,57.6,native,18,.6,
350,36,350,36.6,native,11,.6,
351,43,351,43.6,docker,14,.6,
352,22,352,22.6,docker,7,.6,
353,10,353,10.6,docker,3,.6,
354,5,354,5.6,singularity,1,.6,
355,42,355,42.6,native,13,.6,
356,19,356,19.6,docker,6,.6,
357,39,357,39.6,native,12,.6,
358,30,358,30.6,native,9,.6,
359,34,359,34.6,docker,11,.6,
360,2,360,2.6,singularity,0,.6,
361,35,361,35.6,singularity,11,.6,
362,17,362,17.6,singularity,5,.6,
363,1,363,1.6,docker,0,.6,
364,18,364,18.6,native,5,.6,
365,59,365,59.6,singularity,19,.6,
366,58,366,58.6,docker,19,.6,
367,60,367,60.6,native,19,.6,
368,15,368,15.6,native,4,.6,
369,27,369,27.6,native,8,.6,
370,53,370,53.6,singularity,17,.6,
371,21,371,21.6,native,6,.6,
372,11,372,11.6,singularity,3,.6,
373,45,373,45.6,native,14,.6,
374,20,374,20.6,singularity,6,.6,
375,54,375,54.6,native,17,.6,
376,44,376,44.6,singularity,14,.6,
377,40,377,40.6,docker,13,.6,
378,62,378,62.6,singularity,20,.6,
379,50,379,50.7,singularity,16,.7,
380,45,380,45.7,native,14,.7,
381,17,381,17.7,singularity,5,.7,
382,49,382,49.7,docker,16,.7,
383,21,383,21.7,native,6,.7,
384,58,384,58.7,docker,19,.7,
385,40,385,40.7,docker,13,.7,
386,42,386,42.7,native,13,.7,
387,13,387,13.7,docker,4,.7,
388,31,388,31.7,docker,10,.7,
389,23,389,23.7,singularity,7,.7,
390,10,390,10.7,docker,3,.7,
391,33,391,33.7,native,10,.7,
392,38,392,38.7,singularity,12,.7,
393,36,393,36.7,native,11,.7,
394,46,394,46.7,docker,15,.7,
395,29,395,29.7,singularity,9,.7,
396,1,396,1.7,docker,0,.7,
397,15,397,15.7,native,4,.7,
398,9,398,9.7,native,2,.7,
399,39,399,39.7,native,12,.7,
400,28,400,28.7,docker,9,.7,
401,16,401,16.7,docker,5,.7,
402,37,402,37.7,docker,12,.7,
403,8,403,8.7,singularity,2,.7,
404,22,404,22.7,docker,7,.7,
405,41,405,41.7,singularity,13,.7,
406,61,406,61.7,docker,20,.7,
407,19,407,19.7,docker,6,.7,
408,24,408,24.7,native,7,.7,
409,54,409,54.7,native,17,.7,
410,3,410,3.7,native,0,.7,
411,5,411,5.7,singularity,1,.7,
412,52,412,52.7,docker,17,.7,
413,44,413,44.7,singularity,14,.7,
414,55,414,55.7,docker,18,.7,
415,51,415,51.7,native,16,.7,
416,62,416,62.7,singularity,20,.7,
417,32,417,32.7,singularity,10,.7,
418,25,418,25.7,docker,8,.7,
419,26,419,26.7,singularity,8,.7,
420,48,420,48.7,native,15,.7,
421,6,421,6.7,native,1,.7,
422,7,422,7.7,docker,2,.7,
423,57,423,57.7,native,18,.7,
424,2,424,2.7,singularity,0,.7,
425,56,425,56.7,singularity,18,.7,
426,53,426,53.7,singularity,17,.7,
427,30,427,30.7,native,9,.7,
428,63,428,63.7,native,20,.7,
429,20,429,20.7,singularity,6,.7,
430,27,430,27.7,native,8,.7,
431,14,431,14.7,singularity,4,.7,
432,35,432,35.7,singularity,11,.7,
433,60,433,60.7,native,19,.7,
434,59,434,59.7,singularity,19,.7,
435,4,435,4.7,docker,1,.7,
436,11,436,11.7,singularity,3,.7,
437,12,437,12.7,native,3,.7,
438,34,438,34.7,docker,11,.7,
439,18,439,18.7,native,5,.7,
440,47,440,47.7,singularity,15,.7,
441,43,441,43.7,docker,14,.7,
442,9,442,9.8,native,2,.8,
443,53,443,53.8,singularity,17,.8,
444,56,444,56.8,singularity,18,.8,
445,6,445,6.8,native,1,.8,
446,18,446,18.8,native,5,.8,
447,47,447,47.8,singularity,15,.8,
448,29,448,29.8,singularity,9,.8,
449,60,449,60.8,native,19,.8,
450,30,450,30.8,native,9,.8,
451,12,451,12.8,native,3,.8,
452,17,452,17.8,singularity,5,.8,
453,2,453,2.8,singularity,0,.8,
454,43,454,43.8,docker,14,.8,
455,62,455,62.8,singularity,20,.8,
456,23,456,23.8,singularity,7,.8,
457,61,457,61.8,docker,20,.8,
458,1,458,1.8,docker,0,.8,
459,45,459,45.8,native,14,.8,
460,16,460,16.8,docker,5,.8,
461,13,461,13.8,docker,4,.8,
462,50,462,50.8,singularity,16,.8,
463,34,463,34.8,docker,11,.8,
464,27,464,27.8,native,8,.8,
465,22,465,22.8,docker,7,.8,
466,52,466,52.8,docker,17,.8,
467,10,467,10.8,docker,3,.8,
468,38,468,38.8,singularity,12,.8,
469,7,469,7.8,docker,2,.8,
470,54,470,54.8,native,17,.8,
471,55,471,55.8,docker,18,.8,
472,36,472,36.8,native,11,.8,
473,40,473,40.8,docker,13,.8,
474,31,474,31.8,docker,10,.8,
475,44,475,44.8,singularity,14,.8,
476,33,476,33.8,native,10,.8,
477,59,477,59.8,singularity,19,.8,
478,4,478,4.8,docker,1,.8,
479,57,479,57.8,native,18,.8,
480,15,480,15.8,native,4,.8,
481,11,481,11.8,singularity,3,.8,
482,26,482,26.8,singularity,8,.8,
483,32,483,32.8,singularity,10,.8,
484,5,484,5.8,singularity,1,.8,
485,41,485,41.8,singularity,13,.8,
486,37,486,37.8,docker,12,.8,
487,28,487,28.8,docker,9,.8,
488,3,488,3.8,native,0,.8,
489,58,489,58.8,docker,19,.8,
490,8,490,8.8,singularity,2,.8,
491,21,491,21.8,native,6,.8,
492,39,492,39.8,native,12,.8,
493,20,493,20.8,singularity,6,.8,
494,49,494,49.8,docker,16,.8,
495,19,495,19.8,docker,6,.8,
496,24,496,24.8,native,7,.8,
497,14,497,14.8,singularity,4,.8,
