name,run.no.in.std.order,run.no,run.no.std.rp,environment,context,parallelism,Blocks,time
178,24,178,24.7,native,mpi,16,.7,
179,3,179,3.7,native,openmp,1,.7,
180,27,180,27.7,native,mpi-high-comm,16,.7,
181,16,181,16.7,docker,mpi-high-comm,4,.7,
182,26,182,26.7,singularity,mpi-high-comm,16,.7,
183,25,183,25.7,docker,mpi-high-comm,16,.7,
184,18,184,18.7,native,mpi-high-comm,4,.7,
185,21,185,21.7,native,openmp,16,.7,
186,4,186,4.7,docker,mpi,1,.7,
187,8,187,8.7,singularity,mpi-high-comm,1,.7,
188,19,188,19.7,docker,openmp,16,.7,
189,13,189,13.7,docker,mpi,4,.7,
190,18,190,18.8,native,mpi-high-comm,4,.8,
191,19,191,19.8,docker,openmp,16,.8,
192,7,192,7.8,docker,mpi-high-comm,1,.8,
193,5,193,5.8,singularity,mpi,1,.8,
194,20,194,20.8,singularity,openmp,16,.8,
195,25,195,25.8,docker,mpi-high-comm,16,.8,
196,9,196,9.8,native,mpi-high-comm,1,.8,
197,21,197,21.8,native,openmp,16,.8,
198,23,198,23.8,singularity,mpi,16,.8,
199,22,199,22.8,docker,mpi,16,.8,
200,8,200,8.8,singularity,mpi-high-comm,1,.8,
201,13,201,13.8,docker,mpi,4,.8,
202,17,202,17.8,singularity,mpi-high-comm,4,.8,
203,6,203,6.8,native,mpi,1,.8,
204,3,204,3.8,native,openmp,1,.8,
205,4,205,4.8,docker,mpi,1,.8,
206,2,206,2.8,singularity,openmp,1,.8,
207,16,207,16.8,docker,mpi-high-comm,4,.8,
208,27,208,27.8,native,mpi-high-comm,16,.8,
209,11,209,11.8,singularity,openmp,4,.8,
210,12,210,12.8,native,openmp,4,.8,
211,1,211,1.8,docker,openmp,1,.8,
212,10,212,10.8,docker,openmp,4,.8,
213,24,213,24.8,native,mpi,16,.8,
214,15,214,15.8,native,mpi,4,.8,
215,14,215,14.8,singularity,mpi,4,.8,
216,26,216,26.8,singularity,mpi-high-comm,16,.8,
217,1,217,1.9,docker,openmp,1,.9,
218,7,218,7.9,docker,mpi-high-comm,1,.9,
219,20,219,20.9,singularity,openmp,16,.9,
220,22,220,22.9,docker,mpi,16,.9,
221,5,221,5.9,singularity,mpi,1,.9,
222,24,222,24.9,native,mpi,16,.9,
223,3,223,3.9,native,openmp,1,.9,
224,18,224,18.9,native,mpi-high-comm,4,.9,
225,17,225,17.9,singularity,mpi-high-comm,4,.9,
226,8,226,8.9,singularity,mpi-high-comm,1,.9,
227,9,227,9.9,native,mpi-high-comm,1,.9,
228,2,228,2.9,singularity,openmp,1,.9,
229,12,229,12.9,native,openmp,4,.9,
230,6,230,6.9,native,mpi,1,.9,
231,15,231,15.9,native,mpi,4,.9,
232,26,232,26.9,singularity,mpi-high-comm,16,.9,
233,19,233,19.9,docker,openmp,16,.9,
234,4,234,4.9,docker,mpi,1,.9,
235,25,235,25.9,docker,mpi-high-comm,16,.9,
236,10,236,10.9,docker,openmp,4,.9,
237,23,237,23.9,singularity,mpi,16,.9,
238,11,238,11.9,singularity,openmp,4,.9,
239,14,239,14.9,singularity,mpi,4,.9,
240,16,240,16.9,docker,mpi-high-comm,4,.9,
241,21,241,21.9,native,openmp,16,.9,
242,13,242,13.9,docker,mpi,4,.9,
243,27,243,27.9,native,mpi-high-comm,16,.9,
244,19,244,19.10,docker,openmp,16,.10,
245,10,245,10.10,docker,openmp,4,.10,
246,7,246,7.10,docker,mpi-high-comm,1,.10,
247,2,247,2.10,singularity,openmp,1,.10,
248,12,248,12.10,native,openmp,4,.10,
249,20,249,20.10,singularity,openmp,16,.10,
250,11,250,11.10,singularity,openmp,4,.10,
251,8,251,8.10,singularity,mpi-high-comm,1,.10,
252,15,252,15.10,native,mpi,4,.10,
253,24,253,24.10,native,mpi,16,.10,
254,3,254,3.10,native,openmp,1,.10,
255,13,255,13.10,docker,mpi,4,.10,
256,25,256,25.10,docker,mpi-high-comm,16,.10,
257,26,257,26.10,singularity,mpi-high-comm,16,.10,
258,5,258,5.10,singularity,mpi,1,.10,
259,14,259,14.10,singularity,mpi,4,.10,
260,18,260,18.10,native,mpi-high-comm,4,.10,
261,22,261,22.10,docker,mpi,16,.10,
262,9,262,9.10,native,mpi-high-comm,1,.10,
263,17,263,17.10,singularity,mpi-high-comm,4,.10,
264,16,264,16.10,docker,mpi-high-comm,4,.10,
265,1,265,1.10,docker,openmp,1,.10,
266,23,266,23.10,singularity,mpi,16,.10,
267,21,267,21.10,native,openmp,16,.10,
268,4,268,4.10,docker,mpi,1,.10,
269,6,269,6.10,native,mpi,1,.10,
270,27,270,27.10,native,mpi-high-comm,16,.10,
