size,time,environment
512,0.33140182,native
512,0.29754639,native
512,0.35095215,native
512,0.27227402,native
512,0.33283234,native
512,0.30946732,native
512,0.36096573,native
512,0.27561188,native
512,0.40936470,native
512,0.28181076,native
512,0.38027763,native
512,0.29253960,native
512,0.38671494,native
512,0.28276443,native
512,0.37670135,native
512,0.29253960,native
512,0.38838387,native
512,0.22649765,native
512,0.30493736,native
1024,0.32186508,native
1024,0.32401085,native
1024,0.35285950,native
1024,0.40912628,native
1024,0.34523010,native
1024,0.36072731,native
1024,0.29301643,native
1024,0.38528442,native
1024,0.31137466,native
1024,0.37240982,native
1024,0.26082993,native
1024,0.35262108,native
1024,0.27179718,native
1024,0.37312508,native
1024,0.27966499,native
1024,0.32043457,native
1024,0.27036667,native
1024,0.36358833,native
1024,0.28896332,native
1024,0.37670135,native
2048,0.35190582,native
2048,0.36549568,native
2048,0.42343140,native
2048,0.30636787,native
2048,0.35834312,native
2048,0.43749809,native
2048,0.36430359,native
2048,0.34570694,native
2048,0.36716461,native
2048,0.36048889,native
2048,0.42462349,native
2048,0.30303001,native
2048,0.35858154,native
2048,0.43249130,native
2048,0.36454201,native
2048,0.34880638,native
2048,0.36907196,native
2048,0.36239624,native
2048,0.42486191,native
2048,0.30207634,native
4096,0.37264824,native
4096,0.47564507,native
4096,0.53238869,native
4096,0.32401085,native
4096,0.36382675,native
4096,0.51450729,native
4096,0.53238869,native
4096,0.33283234,native
4096,0.35309792,native
4096,0.51546097,native
4096,0.53048134,native
4096,0.32567978,native
4096,0.36144257,native
4096,0.51164627,native
4096,0.52952766,native
4096,0.32877922,native
4096,0.36168098,native
4096,0.51093102,native
4096,0.53238869,native
4096,0.32329559,native
8192,0.37622452,native
8192,0.52952766,native
8192,0.56219101,native
8192,0.38981438,native
8192,0.76031685,native
8192,0.32854080,native
8192,0.38433075,native
8192,0.45776367,native
8192,0.38647652,native
8192,0.52881241,native
8192,0.58603287,native
8192,0.57411194,native
8192,0.40459633,native
8192,0.61058998,native
8192,0.59151649,native
8192,0.57339668,native
8192,0.62990189,native
8192,0.34809113,native
8192,0.37908554,native
8192,0.45847893,native
16384,0.43630600,native
16384,0.74481964,native
16384,0.68593025,native
16384,0.73122978,native
16384,0.60391426,native
16384,0.69737434,native
16384,0.70881844,native
16384,0.74076653,native
16384,0.64992905,native
16384,0.37598610,native
16384,0.87094307,native
16384,0.75531006,native
16384,0.85091591,native
16384,0.74410439,native
16384,0.69212914,native
16384,0.73218346,native
16384,0.86665154,native
16384,0.71048737,native
16384,0.70619583,native
16384,0.75054169,native
32768,0.92673302,native
32768,1.23715401,native
32768,0.97298622,native
32768,0.90026855,native
32768,0.80823898,native
32768,0.92816353,native
32768,0.98896027,native
32768,0.88596344,native
32768,0.99754333,native
32768,0.91981888,native
32768,0.78630447,native
