size,time
2048,0.42486191
2048,0.30207634
4096,0.37264824
4096,0.47564507
4096,0.53238869
4096,0.32401085
4096,0.36382675
4096,0.51450729
4096,0.53238869
4096,0.33283234
4096,0.35309792
4096,0.51546097
4096,0.53048134
4096,0.32567978
4096,0.36144257
4096,0.51164627
4096,0.52952766
4096,0.32877922
4096,0.36168098
4096,0.51093102
4096,0.53238869
4096,0.32329559
8192,0.37622452
8192,0.52952766
8192,0.56219101
8192,0.38981438
8192,0.76031685
8192,0.32854080
8192,0.38433075
8192,0.45776367
8192,0.38647652
8192,0.52881241
8192,0.58603287
8192,0.57411194
8192,0.40459633
8192,0.61058998
8192,0.59151649
8192,0.57339668
8192,0.62990189
8192,0.34809113
8192,0.37908554
8192,0.45847893
16384,0.43630600
16384,0.74481964
16384,0.68593025
16384,0.73122978
16384,0.60391426
16384,0.69737434
16384,0.70881844
16384,0.74076653
16384,0.64992905
16384,0.37598610
16384,0.87094307
16384,0.75531006
16384,0.85091591
16384,0.74410439
16384,0.69212914
16384,0.73218346
16384,0.86665154
16384,0.71048737
16384,0.70619583
16384,0.75054169
32768,0.92673302
32768,1.23715401
32768,0.97298622
32768,0.90026855
32768,0.80823898
32768,0.92816353
32768,0.98896027
32768,0.88596344
32768,0.99754333
32768,0.91981888
32768,0.78630447
32768,1.04951859
32768,0.79941750
32768,0.91242790
32768,0.76436996
32768,0.92267990
32768,0.80657005
32768,0.86498260
32768,0.81634521
32768,0.86569786
65536,1.10673904
65536,1.40070915
65536,1.46150589
65536,1.21331215
65536,1.22404099
65536,0.97298622
65536,1.32656097
65536,0.99015236
65536,1.33323669
65536,0.97322464
65536,1.33156776
65536,0.97298622
65536,1.33061409
65536,0.97203255
65536,1.32346153
65536,0.98991394
65536,1.33156776
65536,0.97227097
65536,1.19543076
65536,0.98752975
131072,1.67632103
131072,2.21085548
131072,1.83176994
131072,2.08353996
131072,1.78718567
131072,2.10905075
131072,1.80268288
131072,2.56204605
131072,1.88708305
131072,2.47001648
131072,1.83439255
131072,2.21776962
131072,1.85775757
131072,1.57976151
131072,1.75309181
131072,1.89113617
131072,2.33197212
131072,1.75356865
131072,1.76358223
262144,2.94709206
262144,3.54766846
262144,2.86149979
262144,2.91228294
262144,2.77614594
262144,3.12757492
262144,3.07083130
262144,3.57317924
262144,2.81500816
262144,2.84719467
262144,3.09348106
262144,3.57580185
262144,3.09181213
262144,3.06916237
262144,3.16667557
262144,2.59995461
262144,3.17192078
262144,2.57277489
262144,2.79903412
262144,3.01337242
524288,5.07330894
524288,4.83345985
524288,5.20515442
524288,5.30338287
524288,5.33056259
524288,5.56397438
524288,4.98080254
524288,5.19728661
524288,5.18870354
524288,5.35297394
524288,5.06305695
524288,5.39541245
524288,5.08141518
524288,5.75923920
524288,5.18035889
524288,5.34582138
524288,5.13458252
524288,5.34892082
524288,5.24139404
524288,4.93240356
1048576,9.77420807
1048576,9.84406471
1048576,9.60898399
1048576,9.95779037
1048576,9.82856750
1048576,9.64236259
1048576,9.45019722
1048576,9.98377800
1048576,9.68647003
1048576,10.07676125
1048576,9.57441330
1048576,9.88626480
1048576,9.68861580
1048576,10.04934311
1048576,9.71364975
1048576,9.66119766
1048576,9.64689255
1048576,9.53745842
1048576,9.59825516
1048576,9.98783112
