size,time
64,0.31018257
64,0.22554398
64,0.32091141
64,0.22006035
64,0.30922890
128,0.29897690
128,0.31065941
128,0.27084351
128,0.37145615
128,0.27894974
128,0.37884712
128,0.26917458
128,0.37908554
128,0.26750565
128,0.31971931
128,0.22602081
128,0.33831596
128,0.22315979
128,0.30779839
128,0.27966499
128,0.35715103
128,0.27489662
128,0.39744377
128,0.32067299
128,0.38790703
256,0.30541420
256,0.30636787
256,0.27799606
256,0.34999847
256,0.32949448
256,0.29134750
256,0.32687187
256,0.38814545
256,0.32138824
256,0.31471252
256,0.27728081
256,0.37574768
256,0.27084351
256,0.37074089
256,0.29897690
256,0.35500526
256,0.27751923
256,0.34546852
256,0.32854080
256,0.29015541
512,0.26059151
512,0.33354759
512,0.26249886
512,0.30207634
512,0.27918816
512,0.34642220
512,0.29087067
512,0.35500526
512,0.28061867
512,0.34952164
512,0.29230118
512,0.40674210
512,0.31948090
512,0.31161308
512,0.29325485
512,0.35953522
512,0.28800964
512,0.38671494
512,0.26154518
512,0.31328201
1024,0.30279160
1024,0.35786629
1024,0.31185150
1024,0.40817261
1024,0.31185150
1024,0.36549568
1024,0.30517578
1024,0.41151047
1024,0.26917458
1024,0.34356117
1024,0.29063225
1024,0.36001205
1024,0.26130676
1024,0.37693977
1024,0.29563904
1024,0.39219856
1024,0.31280518
1024,0.36549568
1024,0.26106834
1024,0.30636787
2048,0.35762787
2048,0.35905838
2048,0.43010712
2048,0.30565262
2048,0.36382675
2048,0.43916702
2048,0.36430359
2048,0.37217140
2048,0.37050247
2048,0.35619736
2048,0.42939186
2048,0.30565262
2048,0.36501884
2048,0.43916702
2048,0.36144257
2048,0.37479401
2048,0.37264824
2048,0.35810471
2048,0.43010712
2048,0.30541420
4096,0.38051605
4096,0.57554245
4096,0.57411194
4096,0.37980080
4096,0.54979324
4096,0.47612190
4096,0.52738190
4096,0.33712387
4096,0.36120415
4096,0.51403046
4096,0.52833557
4096,0.33688545
4096,0.35810471
4096,0.51331520
4096,0.52785873
4096,0.34284592
4096,0.35881996
4096,0.51188469
4096,0.52738190
4096,0.33903122
8192,0.37264824
8192,0.51355362
8192,0.34856796
8192,0.40054321
8192,0.70738792
8192,0.36668777
8192,0.58078766
8192,0.60749054
8192,0.56600571
8192,0.47302246
8192,0.37217140
8192,0.46920776
8192,0.37574768
8192,0.46706200
8192,0.37431717
8192,0.46753883
8192,0.37693977
