name,environment,sizeexp,time
383,native,6,0.29587746
384,docker,19,45.05348206
385,docker,13,1.99747086
386,native,13,19.43063736
387,docker,4,1.18255615
388,docker,10,1.30414963
389,singularity,7,0.45824051
390,docker,3,0.01811981
391,native,10,0.35953522
392,singularity,12,0.47612190
393,native,11,0.39410591
394,docker,15,4.42767143
395,singularity,9,0.40459633
396,docker,0,1.19829178
397,native,4,0.31018257
398,native,2,0.39148331
399,native,12,0.41246414
400,docker,9,1.25765800
401,docker,5,1.10888481
402,docker,12,0.03862381
403,singularity,2,0.34904480
404,docker,7,1.09052658
405,singularity,13,1.06096268
406,docker,20,97.02610970
407,docker,6,1.29580498
408,native,7,0.34451485
409,native,17,1.78503990
410,native,0,0.35190582
411,singularity,1,0.38647652
412,docker,17,13.65947723
413,singularity,14,0.70595741
414,docker,18,26.64422989
415,native,16,1.16729736
416,singularity,20,31.96930885
417,singularity,10,0.59747696
418,docker,8,1.11484528
419,singularity,8,0.41365623
420,native,15,0.70142746
421,native,1,0.33140182
422,docker,2,1.31583214
423,native,18,21.93498611
424,singularity,0,0.39792061
425,singularity,18,4.10389900
426,singularity,17,6.04677200
427,native,9,0.28944016
428,native,20,10.68687439
429,singularity,6,0.36644936
430,native,8,0.33164024
431,singularity,4,0.36382675
432,singularity,11,0.80013275
433,native,19,5.71274757
434,singularity,19,9.61971283
435,docker,1,1.23977661
436,singularity,3,0.33307076
437,native,3,0.28133392
438,docker,11,1.59406662
439,native,5,0.39911270
440,singularity,15,1.92761421
441,docker,14,0.06079674
442,native,2,0.35333633
443,singularity,17,1.93095207
444,singularity,18,3.59940529
445,native,1,0.30303001
446,native,5,0.27608871
447,singularity,15,0.79560280
448,singularity,9,0.41675568
449,native,19,7.30657578
450,native,9,0.32520294
451,native,3,0.34952164
452,singularity,5,0.40912628
453,singularity,0,0.38743019
454,docker,14,3.16381454
455,singularity,20,11.41381264
456,singularity,7,0.37264824
457,docker,20,108.62421989
458,docker,0,1.30772591
459,native,14,0.67067146
460,docker,5,1.16491318
461,docker,4,1.26910210
462,singularity,16,1.16276741
463,docker,11,1.59239769
464,native,8,0.52332878
465,docker,7,1.16729736
466,docker,17,14.45579529
467,docker,3,1.34730339
468,singularity,12,0.44822693
469,docker,2,1.21927261
470,native,17,1.78098679
471,docker,18,26.88360214
472,native,11,33.04147720
473,docker,13,2.25782394
474,docker,10,1.41286850
475,singularity,14,0.66518784
476,native,10,0.35047531
477,singularity,19,22.03583717
478,docker,1,0.02121925
479,native,18,37.13440895
480,native,4,0.32138824
481,singularity,3,0.39505959
482,singularity,8,0.40650368
483,singularity,10,0.44345856
484,singularity,1,0.36501884
485,singularity,13,0.66304207
486,docker,12,1.92093849
487,docker,9,1.29985809
488,native,0,0.36334991
489,docker,19,52.34813690
490,singularity,2,0.45156479
491,native,6,0.32901764
492,native,12,0.42533875
493,singularity,6,0.39649010
494,docker,16,8.46624374
495,docker,6,1.21331215
496,native,7,0.29397011
497,singularity,4,0.55289268
498,native,15,0.70929527
499,native,13,0.47111511
500,singularity,11,0.46777725
501,docker,8,0.02956390
502,native,16,1.43003464
503,docker,15,5.04469872
504,native,20,10.90979576
505,native,12,0.42915344
506,singularity,20,34.25335884
507,docker,1,1.31058693
508,docker,3,1.33728981
509,native,8,0.38266182
510,docker,4,0.03314018
511,singularity,13,0.52595139
512,docker,19,53.93409729
513,native,7,0.43058395
514,native,20,11.17277145
515,native,3,0.33664703
516,singularity,10,0.45967102
517,docker,16,8.58712196
518,singularity,6,0.52499771
519,singularity,11,0.60296059
520,native,6,0.29110909
521,native,9,0.38599968
522,docker,12,1.98888779
523,docker,8,1.36852264
524,singularity,2,0.37598610
525,docker,9,0.03075600
526,docker,11,0.02717972
527,native,19,6.52050972
528,docker,20,0.74791908
529,singularity,5,0.50234795
530,docker,15,5.17439842
531,singularity,16,1.22857094
532,docker,14,3.46922874
533,singularity,0,0.51259995
534,singularity,18,3.80468369
535,docker,2,1.42025948
536,native,13,0.73599815
537,native,16,1.08861923
538,singularity,17,2.27594376
539,native,18,4.16064262
540,docker,18,0.24008751
541,docker,5,1.40619278
542,singularity,7,0.39744377
543,native,17,2.02322006
544,singularity,9,0.60462952
545,singularity,1,0.42104721
546,singularity,3,0.39887428
547,native,4,0.37479401
548,singularity,19,7.10487366
549,docker,6,1.45077705
550,native,1,0.36835670
551,native,14,0.65398216
552,singularity,15,1.98078156
553,native,11,0.45561790
554,singularity,12,0.53071976
555,singularity,8,0.40721893
556,singularity,4,0.54907799
557,docker,10,1.43051147
558,docker,13,2.44927406
559,native,15,14.66274261
560,native,5,0.34046173
561,docker,17,0.15616417
562,native,2,31.26358986
563,docker,0,1.37376785
564,docker,7,0.02646446
565,native,0,0.29826164
566,singularity,14,1.42145157
567,native,10,0.33736229
568,singularity,3,0.56242943
569,docker,12,2.02918053
570,singularity,14,0.72789192
571,docker,5,1.44219398
572,native,9,0.53715706
573,native,4,0.35572052
574,singularity,13,0.53787231
575,singularity,16,3.63039970
576,docker,8,0.04076958
577,singularity,9,0.43392181
578,singularity,7,0.37455559
579,native,7,0.29826164
580,native,13,0.47087669
581,docker,2,1.37329102
582,native,15,0.78511238
583,docker,15,5.43332100
584,docker,10,1.54161453
585,native,18,11.59191132
586,native,10,0.37765503
587,native,3,0.37074089
588,singularity,20,11.75260544
589,native,5,0.40745735
590,native,12,0.38242340
591,singularity,1,0.56028366
592,docker,4,0.02717972
593,native,20,68.91107559
594,docker,18,0.24294853
595,docker,3,0.02431870
596,singularity,8,0.43416023
597,native,17,2.12478638
598,docker,0,1.39641762
599,singularity,17,1.97982788
600,singularity,11,0.60248375
601,docker,1,0.02622604
602,native,16,1.18947029
603,docker,16,9.45830345
604,singularity,19,6.86955452
605,singularity,4,0.42104721
606,singularity,12,0.50139427
607,docker,17,17.08006859
608,native,2,0.37264824
609,docker,14,3.78870964
610,singularity,15,1.97887421
611,native,0,0.32377243
612,singularity,0,0.41484833
613,singularity,6,0.40888786
614,singularity,2,0.39291382
615,native,14,0.66733360
616,singularity,18,4.23264503
617,docker,19,0.39577484
618,native,1,0.33402443
619,singularity,10,0.56123734
620,docker,11,0.02765656
621,docker,7,1.58500671
622,native,19,7.09509850
623,native,8,0.32496452
624,docker,20,0.73575974
625,docker,9,1.57570839
626,singularity,5,0.51093102
627,docker,6,0.03266335
628,native,11,0.51450729
629,docker,13,2.65359879
630,native,6,0.30684471
