MPI-2 passive ping-pong latency test, performing 10 rounds at each xfer size.
  131072 bytes,   2.21085548 ms
  131072 bytes,   1.83176994 ms
  131072 bytes,   2.08353996 ms
  131072 bytes,   1.78718567 ms
  131072 bytes,   2.10905075 ms
  131072 bytes,   1.80268288 ms
  131072 bytes,   2.56204605 ms
  131072 bytes,   1.88708305 ms
  131072 bytes,   2.47001648 ms
  131072 bytes,   1.83439255 ms
  131072 bytes,   2.21776962 ms
  131072 bytes,  13.74220848 ms
  131072 bytes,   1.85775757 ms
  131072 bytes,   1.57976151 ms
  131072 bytes,   1.75309181 ms
  131072 bytes,   1.89113617 ms
  131072 bytes,   2.33197212 ms
  131072 bytes,   1.75356865 ms
  131072 bytes,   1.76358223 ms
  262144 bytes,   2.94709206 ms
  262144 bytes,   3.54766846 ms
  262144 bytes,   2.86149979 ms
  262144 bytes,   2.91228294 ms
  262144 bytes,   2.77614594 ms
  262144 bytes,   3.12757492 ms
  262144 bytes,   3.07083130 ms
  262144 bytes,   3.57317924 ms
  262144 bytes,   2.81500816 ms
  262144 bytes,   2.84719467 ms
  262144 bytes,   3.09348106 ms
  262144 bytes,   3.57580185 ms
  262144 bytes,   3.09181213 ms
  262144 bytes,   3.06916237 ms
  262144 bytes,   3.16667557 ms
  262144 bytes,   2.59995461 ms
  262144 bytes,   3.17192078 ms
  262144 bytes,   2.57277489 ms
  262144 bytes,   2.79903412 ms
  262144 bytes,   3.01337242 ms
  524288 bytes,   5.07330894 ms
  524288 bytes,   4.83345985 ms
  524288 bytes,   5.20515442 ms
  524288 bytes,   5.30338287 ms
  524288 bytes,   5.33056259 ms
  524288 bytes,   5.56397438 ms
  524288 bytes,   4.98080254 ms
  524288 bytes,   5.19728661 ms
  524288 bytes,   5.18870354 ms
  524288 bytes,   5.35297394 ms
  524288 bytes,   5.06305695 ms
  524288 bytes,   5.39541245 ms
  524288 bytes,   5.08141518 ms
  524288 bytes,   5.75923920 ms
  524288 bytes,   5.18035889 ms
  524288 bytes,   5.34582138 ms
  524288 bytes,   5.13458252 ms
  524288 bytes,   5.34892082 ms
  524288 bytes,   5.24139404 ms
  524288 bytes,   4.93240356 ms
 1048576 bytes,   9.77420807 ms
 1048576 bytes,   9.84406471 ms
 1048576 bytes,   9.60898399 ms
 1048576 bytes,   9.95779037 ms
 1048576 bytes,   9.82856750 ms
 1048576 bytes,   9.64236259 ms
 1048576 bytes,   9.45019722 ms
 1048576 bytes,   9.98377800 ms
 1048576 bytes,   9.68647003 ms
 1048576 bytes,  10.07676125 ms
 1048576 bytes,   9.57441330 ms
 1048576 bytes,   9.88626480 ms
 1048576 bytes,   9.68861580 ms
 1048576 bytes,  10.04934311 ms
 1048576 bytes,   9.71364975 ms
 1048576 bytes,   9.66119766 ms
 1048576 bytes,   9.64689255 ms
 1048576 bytes,   9.53745842 ms
 1048576 bytes,   9.59825516 ms
 1048576 bytes,   9.98783112 ms
