MPI-2 passive ping-pong latency test, performing 10 rounds at each xfer size.
    8192 bytes,   0.58078766 ms
    8192 bytes,   0.60749054 ms
    8192 bytes,   0.56600571 ms
    8192 bytes,   0.47302246 ms
    8192 bytes,   0.37217140 ms
    8192 bytes,   0.46920776 ms
    8192 bytes,   0.37574768 ms
    8192 bytes,   0.46706200 ms
    8192 bytes,   0.37431717 ms
    8192 bytes,   0.46753883 ms
    8192 bytes,   0.37693977 ms
    8192 bytes,   0.50044060 ms
    8192 bytes,   0.58269501 ms
    8192 bytes,   0.59127808 ms
   16384 bytes,   0.81562996 ms
   16384 bytes,   0.73766708 ms
   16384 bytes,   0.69046021 ms
   16384 bytes,   0.73242188 ms
   16384 bytes,   0.87308884 ms
   16384 bytes,   0.69236755 ms
   16384 bytes,   0.48732758 ms
   16384 bytes,   0.69165230 ms
   16384 bytes,   0.63800812 ms
   16384 bytes,   0.91004372 ms
   16384 bytes,   0.70905685 ms
   16384 bytes,   0.69737434 ms
   16384 bytes,   0.69952011 ms
   16384 bytes,   0.60534477 ms
   16384 bytes,   0.70810318 ms
   16384 bytes,   0.44870377 ms
   16384 bytes,   0.63753128 ms
   16384 bytes,   0.91671944 ms
   16384 bytes,   0.72813034 ms
   16384 bytes,   0.67973137 ms
   32768 bytes,   0.97131729 ms
   32768 bytes,   1.09028816 ms
   32768 bytes,   0.99563599 ms
   32768 bytes,   0.91934204 ms
   32768 bytes,   0.99730492 ms
   32768 bytes,   1.08695030 ms
   32768 bytes,   0.98443031 ms
   32768 bytes,   0.94699860 ms
   32768 bytes,   0.96988678 ms
   32768 bytes,   0.96035004 ms
   32768 bytes,   0.78725815 ms
   32768 bytes,   0.99325180 ms
   32768 bytes,   1.06072426 ms
   32768 bytes,   0.74434280 ms
   32768 bytes,   0.80227852 ms
   32768 bytes,   0.91838837 ms
   32768 bytes,   0.77509880 ms
   32768 bytes,   0.89597702 ms
   32768 bytes,   0.77176094 ms
   32768 bytes,   0.82373619 ms
   65536 bytes,   1.08909607 ms
   65536 bytes,   1.42145157 ms
   65536 bytes,   1.30629539 ms
   65536 bytes,   1.48749352 ms
   65536 bytes,   1.13558769 ms
   65536 bytes,   1.25575066 ms
   65536 bytes,   1.32608414 ms
   65536 bytes,   1.64628029 ms
   65536 bytes,   1.29127502 ms
   65536 bytes,   1.10363960 ms
   65536 bytes,   1.40285492 ms
   65536 bytes,   1.64294243 ms
   65536 bytes,   1.22714043 ms
   65536 bytes,   2.07781792 ms
   65536 bytes,   1.48296356 ms
   65536 bytes,   1.49941444 ms
   65536 bytes,   1.02329254 ms
   65536 bytes,   1.37901306 ms
   65536 bytes,   1.42335892 ms
   65536 bytes,   2.45046616 ms
  131072 bytes,   2.41541862 ms
  131072 bytes,   2.04777718 ms
  131072 bytes,   1.91235542 ms
  131072 bytes,   1.92141533 ms
  131072 bytes,   2.03514099 ms
  131072 bytes,   1.68800354 ms
  131072 bytes,   1.65915489 ms
  131072 bytes,   1.72281265 ms
  131072 bytes,   1.62553787 ms
  131072 bytes,   1.89065933 ms
  131072 bytes,  80.30319214 ms
  131072 bytes,   2.04420090 ms
  131072 bytes,   2.00700760 ms
  131072 bytes,   2.08139420 ms
  131072 bytes,   1.84249878 ms
  131072 bytes,   2.16388702 ms
  131072 bytes,   1.67918205 ms
  131072 bytes,   2.16937065 ms
  131072 bytes,   1.65700912 ms
  131072 bytes,   2.14552879 ms
  262144 bytes,   2.94756889 ms
  262144 bytes,   2.63762474 ms
  262144 bytes,   3.18884850 ms
  262144 bytes,   3.16476822 ms
  262144 bytes,   2.99906731 ms
  262144 bytes,   2.80427933 ms
  262144 bytes,   2.69222260 ms
  262144 bytes,   3.15523148 ms
  262144 bytes,   2.99763680 ms
  262144 bytes,   2.96831131 ms
  262144 bytes,   2.53319740 ms
  262144 bytes,   2.93087959 ms
  262144 bytes,   2.69794464 ms
  262144 bytes,   2.96139717 ms
  262144 bytes,   3.07631493 ms
  262144 bytes,   3.46493721 ms
  262144 bytes,   2.92277336 ms
  262144 bytes,   2.93612480 ms
  262144 bytes,   2.78806686 ms
  262144 bytes,   3.14545631 ms
  524288 bytes,   4.86230850 ms
  524288 bytes,   5.38611412 ms
  524288 bytes,   5.22971153 ms
  524288 bytes,   4.97269630 ms
  524288 bytes,   5.01251221 ms
  524288 bytes,   5.42998314 ms
  524288 bytes,   5.08880615 ms
  524288 bytes,   5.43189049 ms
  524288 bytes,   5.09643555 ms
  524288 bytes,   5.35869598 ms
  524288 bytes,   5.07473946 ms
  524288 bytes,   5.68461418 ms
  524288 bytes,   5.10454178 ms
  524288 bytes,   5.34510612 ms
  524288 bytes,   5.04660606 ms
  524288 bytes,   5.41973114 ms
  524288 bytes,   5.13553619 ms
  524288 bytes,   5.44166565 ms
  524288 bytes,   4.98104095 ms
  524288 bytes,   5.63287735 ms
 1048576 bytes,   9.55700874 ms
 1048576 bytes,   9.44900513 ms
 1048576 bytes,   9.68217850 ms
 1048576 bytes,  10.14900208 ms
 1048576 bytes,   9.49144363 ms
 1048576 bytes,   9.90128517 ms
 1048576 bytes,   9.74917412 ms
 1048576 bytes,  10.10155678 ms
