MPI-2 passive ping-pong latency test, performing 10 rounds at each xfer size.
   65536 bytes,   2.63309479 ms
   65536 bytes,   3.06487083 ms
   65536 bytes,   2.26187706 ms
   65536 bytes,   2.83575058 ms
   65536 bytes,   2.31647491 ms
   65536 bytes,   2.47383118 ms
   65536 bytes,   2.43163109 ms
   65536 bytes,   2.93064117 ms
   65536 bytes,   2.40850449 ms
   65536 bytes,   2.44045258 ms
   65536 bytes,   2.25758553 ms
   65536 bytes,   2.47740746 ms
   65536 bytes,   2.48837471 ms
   65536 bytes,   2.79498100 ms
  131072 bytes,   4.73999977 ms
  131072 bytes,   5.08451462 ms
  131072 bytes,   4.68802452 ms
  131072 bytes,   5.04612923 ms
  131072 bytes,   4.61387634 ms
  131072 bytes,   4.93407249 ms
  131072 bytes,   4.63747978 ms
  131072 bytes,   4.96029854 ms
  131072 bytes,   4.63247299 ms
  131072 bytes,   4.95958328 ms
  131072 bytes,   4.16254997 ms
  131072 bytes,   4.62627411 ms
  131072 bytes,   4.22096252 ms
  131072 bytes,   4.53042984 ms
  131072 bytes,   4.26769257 ms
  131072 bytes,   4.60362434 ms
  131072 bytes,   4.17900085 ms
  131072 bytes,   4.41670418 ms
  131072 bytes,   4.04095650 ms
  131072 bytes,   4.73928452 ms
  262144 bytes,   8.05377960 ms
  262144 bytes,   8.17584991 ms
  262144 bytes,   7.69400597 ms
  262144 bytes,   7.60984421 ms
  262144 bytes,   7.69376755 ms
  262144 bytes,   7.62796402 ms
  262144 bytes,   7.47132301 ms
  262144 bytes,   7.68852234 ms
  262144 bytes,   7.45272636 ms
  262144 bytes,   7.74002075 ms
  262144 bytes,   7.36975670 ms
  262144 bytes,   7.23719597 ms
  262144 bytes,   7.08246231 ms
  262144 bytes,   6.91866875 ms
  262144 bytes,   6.75582886 ms
  262144 bytes,   6.91986084 ms
  262144 bytes,   6.79278374 ms
  262144 bytes,   7.13872910 ms
  262144 bytes,   6.74510002 ms
  262144 bytes,   7.20310211 ms
  524288 bytes,  12.87531853 ms
  524288 bytes,  13.20314407 ms
  524288 bytes,  12.99405098 ms
  524288 bytes,  13.61894608 ms
  524288 bytes,  12.79950142 ms
  524288 bytes,  13.12184334 ms
  524288 bytes,  12.94088364 ms
  524288 bytes,  13.32616806 ms
  524288 bytes,  12.83526421 ms
  524288 bytes,  13.00501823 ms
  524288 bytes,  13.00311089 ms
  524288 bytes,  13.24558258 ms
  524288 bytes,  12.96877861 ms
  524288 bytes,  13.62252235 ms
  524288 bytes,  12.78305054 ms
  524288 bytes,  13.51928711 ms
  524288 bytes,  13.00835609 ms
  524288 bytes,  12.86244392 ms
  524288 bytes,  12.80117035 ms
  524288 bytes,  12.97998428 ms
 1048576 bytes,  28.44047546 ms
 1048576 bytes,  27.41336823 ms
 1048576 bytes,  29.60515022 ms
 1048576 bytes,  25.95114708 ms
 1048576 bytes,  25.87366104 ms
 1048576 bytes,  26.33285522 ms
 1048576 bytes,  26.41987801 ms
 1048576 bytes,  26.13091469 ms
 1048576 bytes,  25.62856674 ms
 1048576 bytes,  26.09348297 ms
 1048576 bytes,  25.69508553 ms
 1048576 bytes,  26.19314194 ms
 1048576 bytes,  26.09992027 ms
 1048576 bytes,  26.34906769 ms
 1048576 bytes,  25.84457397 ms
 1048576 bytes,  25.68125725 ms
 1048576 bytes,  25.54297447 ms
 1048576 bytes,  26.29852295 ms
 1048576 bytes,  25.91776848 ms
 1048576 bytes,  26.72839165 ms
